author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315568034/;Москва;sale;flat;22;24;1;44.2;20850000;Даниловский;Автозаводская ;23Бк2;ЗИЛ;Парк Легенд
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315568031/;Москва;sale;flat;13;17;1;31.7;11300000;; Александры Монаховой;87к2;Потапово;Бунинские луга
Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/315568019/;Москва;sale;flat;10;17;2;53.1;24400000;Очаково-Матвеевское;Озерная ;2к2;Аминьевская;Мичурино
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315567976/;Москва;sale;flat;7;46;1;45.2;33500000;Дорогомилово;Кутузовский проезд;16А/1;Багратионовская;River Park Кутузовский
;;https://www.cian.ru/sale/flat/315567703/;Москва;sale;flat;10;13;2;75.3;23467700;; 1-я Ватутинская;12с4;Ватутинки;Russian Design District
ID 8071;realtor;https://www.cian.ru/sale/flat/315566714/;Москва;sale;flat;15;16;2;64.1;20700000;Люблино;Ставропольская ;4/2;Люблино;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315566415/;Москва;sale;flat;6;34;1;35.3;25000000;Войковский; Адмирала Макарова;6Ак1;Водный стадион;Невский
Мария Иванова;realtor;https://www.cian.ru/sale/flat/315566043/;Москва;sale;flat;20;24;1;43.8;12000000;Северное Бутово; Грина;1к8;Бульвар Дмитрия Донского;
Лариса Алексеева;realtor;https://www.cian.ru/sale/flat/315566010/;Москва;sale;flat;23;31;2;55.0;24300000;Филевский парк;Береговой проезд;5к1;Фили;Фили Град
ID 129360374;homeowner;https://www.cian.ru/sale/flat/315565938/;Москва;sale;flat;26;35;2;57.4;25000000;Останкинский; Годовикова;11к5;Алексеевская;iLove
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315565913/;Москва;sale;flat;15;33;2;70.3;33900000;Бутырский; Руставели;16к2;Бутырская;Руставели 14
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315565685/;Москва;sale;flat;6;18;2;40.0;11850000;; Александры Монаховой;90к1;Потапово;Бунинские луга
ID 27636344;homeowner;https://www.cian.ru/sale/flat/315565490/;Москва;sale;flat;14;33;1;40.4;12500000;Южное Бутово; Поляны;5Ак2;Улица Скобелевская;Столичные поляны
Андрей Сердюк;realtor;https://www.cian.ru/sale/flat/315565303/;Москва;sale;flat;4;25;1;46.2;15500000;Солнцево;Боровское шоссе;2Ак1;Говорово;Мещерский лес
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/315565173/;Москва;sale;flat;5;41;1;38.0;27500000;Раменки; Василия Ланового;1к2;Аминьевская;Огни
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/315564756/;Москва;sale;flat;18;22;2;57.0;12500000;Некрасовка;Покровская ;41;Некрасовка;
Ваш адрес;real_estate_agent;https://www.cian.ru/sale/flat/315564738/;Москва;sale;flat;6;31;1;33.5;16900000;Нижегородский;Газгольдерная ;10;Нижегородская;Profit
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/315564419/;Москва;sale;flat;24;40;2;62.0;35000000;Даниловский;бульвар Братьев Весниных;1;ЗИЛ;ЗИЛАРТ
ИНКОМ-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315563529/;Москва;sale;flat;3;17;2;60.0;19500000;Марьино; Перерва;31;Братиславская;
ID 129357523;developer;https://www.cian.ru/sale/flat/315563487/;Москва;sale;flat;6;14;2;60.3;16220000;; 3-я Нововатутинская;15к3;Кедровая;Новые Ватутинки, мкр. Центральный
ID 129357523;developer;https://www.cian.ru/sale/flat/315563469/;Москва;sale;flat;13;14;2;67.9;17880000;; 3-я Нововатутинская;15к3;Кедровая;Новые Ватутинки, мкр. Центральный
ID 129357523;developer;https://www.cian.ru/sale/flat/315563467/;Москва;sale;flat;14;14;2;65.4;17590000;; 3-я Нововатутинская;15к3;Кедровая;Новые Ватутинки, мкр. Центральный
ID 129357523;developer;https://www.cian.ru/sale/flat/315563368/;Москва;sale;flat;13;14;1;39.0;11510000;; 3-я Нововатутинская;15к1;Кедровая;Новые Ватутинки, мкр. Центральный
ID 129357523;developer;https://www.cian.ru/sale/flat/315563365/;Москва;sale;flat;9;14;1;38.1;11030000;; 3-я Нововатутинская;15к1;Кедровая;Новые Ватутинки, мкр. Центральный
ID 129357523;developer;https://www.cian.ru/sale/flat/315563280/;Москва;sale;flat;12;14;1;41.2;11700000;; 3-я Нововатутинская;15к1;Кедровая;Новые Ватутинки, мкр. Центральный
ID 129357523;developer;https://www.cian.ru/sale/flat/315563270/;Москва;sale;flat;6;14;2;68.5;18000000;; 3-я Нововатутинская;15к1;Кедровая;Новые Ватутинки, мкр. Центральный
ID 129357523;developer;https://www.cian.ru/sale/flat/315563241/;Москва;sale;flat;13;14;2;67.9;17880000;; 3-я Нововатутинская;15к1;Кедровая;Новые Ватутинки, мкр. Центральный
Elitos;real_estate_agent;https://www.cian.ru/sale/flat/315562988/;Москва;sale;flat;5;10;2;67.7;80400000;Тверской; Фадеева;4А;Новослободская;Итальянский Квартал
PRO.КOMPLEX;real_estate_agent;https://www.cian.ru/sale/flat/315562580/;Москва;sale;flat;11;15;1;31.3;10500000;; Василия Ощепкова;2;Новомосковская;Москвичка
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315562556/;Москва;sale;flat;4;17;1;46.9;11300000;; Сосенский Стан;10;Новомосковская;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315562552/;Москва;sale;flat;15;23;2;118.0;57000000;Можайский;Можайское шоссе;6К1;Кунцевская;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315562549/;Москва;sale;flat;18;19;1;46.0;15500000;Дмитровский;Долгопрудная ;7;Лианозово;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315562547/;Москва;sale;flat;19;45;1;36.0;15850000;Западное Дегунино;Северный ао;;Селигерская;Селигер Сити ЖК
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/315562339/;Москва;sale;flat;8;12;2;105.0;189000000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315562141/;Москва;sale;flat;10;25;2;60.6;21000000;Солнцево;Боровское шоссе;2к4;Мещерская;Мещерский лес
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315562137/;Москва;sale;flat;8;25;2;54.7;15450000;Люблино;Люблинская ;76к5;Перерва;Люблинский парк
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/315561977/;Москва;sale;flat;31;40;2;62.0;35000000;Даниловский;бульвар Братьев Весниных;1;ЗИЛ;ЗИЛАРТ
Самолет Плюс;real_estate_agent;https://www.cian.ru/sale/flat/315561322/;Москва;sale;flat;6;12;1;38.4;14995000;Нагатинский затон; Новинки;25;Кленовый бульвар;
Top Realty;real_estate_agent;https://www.cian.ru/sale/flat/315561055/;Москва;sale;flat;8;10;2;65.45;27300000;Пресненский;Шмитовский проезд;39к3;Шелепиха;Headliner
WHITE BROKER;real_estate_agent;https://www.cian.ru/sale/flat/315560807/;Москва;sale;flat;3;19;2;66.2;25000000;Даниловский;;;Тульская;Дом 7 Даниловский ЖК
ID 12716392;unknown;https://www.cian.ru/sale/flat/315560599/;Москва;sale;flat;13;24;1;33.1;13000000;Печатники;;4;Кожуховская;Левел Южнопортовая ЖК
Самолет Плюс;real_estate_agent;https://www.cian.ru/sale/flat/315560403/;Москва;sale;flat;9;17;1;50.9;11300000;; Сосенский Стан;10;Новомосковская;
ИНФИНИТИ;real_estate_agent;https://www.cian.ru/sale/flat/315560401/;Москва;sale;flat;6;19;2;58.8;13000000;Некрасовка;Рождественская ;16;Некрасовка;
ID 77972358;homeowner;https://www.cian.ru/sale/flat/315560378/;Москва;sale;flat;24;31;2;42.7;20000000;Очаково-Матвеевское;Озерная ;42С7;Озёрная;Страна.Озёрная
Top Realty;real_estate_agent;https://www.cian.ru/sale/flat/315560322/;Москва;sale;flat;24;31;2;54.0;30800000;Филевский парк;Береговой проезд;5к1;Фили;Фили Град
ID 81115035;realtor;https://www.cian.ru/sale/flat/315560141/;Москва;sale;flat;5;17;2;53.7;13900000;Новокосино;Новокосинская ;14К2;Новокосино;
Jcat;real_estate_agent;https://www.cian.ru/sale/flat/315560137/;Москва;sale;flat;11;17;2;63.5;19700000;Северное Бутово;Коктебельская ;8;Бульвар Дмитрия Донского;
ID 74635693;homeowner;https://www.cian.ru/sale/flat/315560033/;Москва;sale;flat;7;25;1;42.0;20000000;Фили-Давыдково;Инициативная ;7к3;Давыдково;
Top Realty;real_estate_agent;https://www.cian.ru/sale/flat/315559717/;Москва;sale;flat;19;57;2;105.0;84600000;Хорошевский;Чапаевский переулок;3;Сокол;Триумф-Палас
Станислава Яткевич;realtor;https://www.cian.ru/sale/flat/315559152/;Москва;sale;flat;3;14;2;52.0;16300000;Дмитровский;Яхромская ;6;Яхромская;
ИНКОМ-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315558949/;Москва;sale;flat;3;14;2;51.3;15000000;Бабушкинский;Олонецкий проезд;18К1;Бабушкинская;
ИНКОМ-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315558938/;Москва;sale;flat;9;24;1;38.7;11075940;Гольяново;Амурская ;1к1;Черкизовская;по ул. Амурская
Самолет Плюс Москва;real_estate_agent;https://www.cian.ru/sale/flat/315558776/;Москва;sale;flat;15;17;1;36.7;8500000;;проспект Нововатутинский;12;Кедровая;Новые Ватутинки, мкр. Центральный
Clover Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/315558628/;Москва;sale;flat;22;41;2;72.2;73000000;Хорошевский;Ленинградский проспект;37/7;Аэропорт;Прайм Парк
Самолет Плюс;real_estate_agent;https://www.cian.ru/sale/flat/315558511/;Москва;sale;flat;17;17;1;38.0;10500000;Северное Бутово;Куликовская ;7;Бульвар Дмитрия Донского;
ID 80928570;homeowner;https://www.cian.ru/sale/flat/315558455/;Москва;sale;flat;13;15;1;35.2;12200000;; Василия Ощепкова;3;Новомосковская;Москвичка
