author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Анна Журавлева;realtor;https://www.cian.ru/sale/flat/315510583/;Москва;sale;flat;16;22;2;38.0;18200000;Головинский;Головинское шоссе;11;Водный стадион;Талисман на Водном
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315509781/;Москва;sale;flat;7;13;2;48.8;19300000;; 1-я Ватутинская;12к2;Ватутинки;Russian Design District
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315509769/;Москва;sale;flat;22;35;1;30.7;15870000;Очаково-Матвеевское;Очаково мкр;2к3;Аминьевская;Большая Очаковская 2 ЖК
Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/315509707/;Москва;sale;flat;19;26;1;37.2;21990000;Марфино; Академика Королева;21;Останкино;Дом Достижение
Валерия Советова;realtor;https://www.cian.ru/sale/flat/315509480/;Москва;sale;flat;18;22;1;35.0;15400000;Зюзино;Чонгарский бульвар;26Ак1;Каховская;
PRO.REALTY;real_estate_agent;https://www.cian.ru/sale/flat/315509086/;Москва;sale;flat;17;23;2;46.2;18000000;Хорошевский; Зорге;24С4;Зорге;INDY TOWERS
Простор-недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315508785/;Москва;sale;flat;16;17;1;36.3;11770000;Южное Бутово; Кадырова;8;Бунинская аллея;
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/315508593/;Москва;sale;flat;13;26;2;54.0;26500000;Щукино;Авиационная ;63;Щукинская;Авиационная, 59-63
БЕСТ-Недвижимость на Баррикадной;real_estate_agent;https://www.cian.ru/sale/flat/315508532/;Москва;sale;flat;8;9;1;39.0;13500000;;;к35.2.1;Потапово;Скандинавия ЖК
Екатерина Кузнецова;realtor;https://www.cian.ru/sale/flat/315508130/;Москва;sale;flat;20;45;2;46.9;16390000;Нижегородский;;1;Нижегородская;Левел Нижегородская ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315508045/;Москва;sale;flat;2;17;1;44.4;16800000;Гольяново;Амурская ;2Ак4;Черкизовская;Амурский парк
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315508041/;Москва;sale;flat;3;15;1;32.7;10500000;; Василия Ощепкова;2;Новомосковская;Москвичка
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315508022/;Москва;sale;flat;16;23;1;34.7;17600000;Лефортово;Красноказарменная ;14Ак2;Авиамоторная;Пётр I
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/315507653/;Москва;sale;flat;16;33;2;47.6;24850000;Хорошево-Мневники;Причальный проезд;10к1;Шелепиха;Level Причальный
Елена Винтенкина;realtor;https://www.cian.ru/sale/flat/315507528/;Москва;sale;flat;5;17;1;37.5;10800000;; Летчика Грицевца;5;Пыхтино;Солнцево парк
FALCON GROUP;real_estate_agent;https://www.cian.ru/sale/flat/315507397/;Москва;sale;flat;17;30;2;69.8;39999000;Южнопортовый; 1-я Машиностроения;10;Дубровка;Дубровская Слобода
ID 110171744;homeowner;https://www.cian.ru/sale/flat/315506900/;Москва;sale;flat;20;32;2;75.8;42000000;Щукино; Расплетина;21;Октябрьское поле;Дом в сосновой роще
Респект Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315506874/;Москва;sale;flat;5;9;2;69.8;28500000;Красносельский;Басманный переулок;9;Комсомольская;
Виктория Билялова;realtor;https://www.cian.ru/sale/flat/315506781/;Москва;sale;flat;5;30;2;54.8;27200000;Зюзино;Малая Юшуньская ;3;Каховская;Айвазовский
Бариново;real_estate_agent;https://www.cian.ru/sale/flat/315506612/;Москва;sale;flat;25;29;1;38.0;16200000;Южнопортовый;Волгоградский проспект;32/5к2;Угрешская;Метрополия
Агентство недвижимости Елены Кузнецовой;real_estate_agent;https://www.cian.ru/sale/flat/315506446/;Москва;sale;flat;26;34;2;66.0;29500000;Аэропорт;Кочновский проезд;4к1;Гражданская;Аэробус
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315506402/;Москва;sale;flat;15;34;2;65.0;44800000;Кунцево; Академика Павлова;38к1;Молодёжная;Академика Павлова
ID 12204973;unknown;https://www.cian.ru/sale/flat/315506098/;Москва;sale;flat;1;6;2;55.4;14000000;Митино; Генерала Белобородова;32;Пенягино;
ID 43482606;realtor;https://www.cian.ru/sale/flat/315506023/;Москва;sale;flat;4;23;2;68.0;29500000;Москворечье-Сабурово;Каширский проезд;25к4;Варшавская;LIFE Варшавская
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/315505928/;Москва;sale;flat;21;26;2;66.6;28000000;Лефортово; Крузенштерна;6;Площадь Ильича;Символ
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315505738/;Москва;sale;flat;24;30;2;59.9;22500000;Южнопортовый;Волгоградский проспект;32/5к3;Угрешская;Метрополия
ID 45439896;unknown;https://www.cian.ru/sale/flat/315505572/;Москва;sale;flat;11;36;1;41.7;21500000;Войковский;Головинское шоссе;10Б;Водный стадион;Маяковский
FlatLux;real_estate_agent;https://www.cian.ru/sale/flat/315505522/;Москва;sale;flat;36;41;1;45.7;30500000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
ID 100085299;homeowner;https://www.cian.ru/sale/flat/315505413/;Москва;sale;flat;3;15;2;65.7;18850000;; Потаповская Роща;26к3;Потапово;Белые ночи
FlatLux;real_estate_agent;https://www.cian.ru/sale/flat/315505128/;Москва;sale;flat;7;9;2;62.8;48600000;Донской; Вавилова;4;Ленинский проспект;Вавилова 4
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315504351/;Москва;sale;flat;4;22;2;73.1;36700000;Хорошевский; Полины Осипенко;10к1;ЦСКА;Полины Осипенко 10к1
Свой родной дом;real_estate_agent;https://www.cian.ru/sale/flat/315503096/;Москва;sale;flat;3;9;1;37.0;13000000;Марьино;Донецкая ;34к1;Курьяново;Домашний
FlatLux;real_estate_agent;https://www.cian.ru/sale/flat/315502629/;Москва;sale;flat;13;28;2;85.0;46850000;Тимирязевский;Дмитровское шоссе;13;Тимирязевская;Дыхание
ID 126233579;homeowner;https://www.cian.ru/sale/flat/315502580/;Москва;sale;flat;19;20;1;42.0;19200000;Марьина роща;Анненская ;6;Марьина Роща;
Вячеслав Дашкин;real_estate_agent;https://www.cian.ru/sale/flat/315502570/;Москва;sale;flat;21;22;1;37.0;13900000;Западное Дегунино;Дегунинская ;3к3;Селигерская;
ИНФИНИТИ;real_estate_agent;https://www.cian.ru/sale/flat/315501542/;Москва;sale;flat;13;40;2;66.0;41900000;Даниловский;бульвар Братьев Весниных;1;ЗИЛ;ЗИЛАРТ
Татьяна Жмулина;realtor;https://www.cian.ru/sale/flat/315501395/;Москва;sale;flat;18;25;2;58.0;27900000;Марьина роща; 2-я Марьиной рощи;3;Марьина Роща;
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/315500861/;Москва;sale;flat;1;9;1;37.2;19999999;Очаково-Матвеевское;Аминьевское шоссе;4Дк2;Аминьевская;Вестердам
Маргарита Тихомирова;realtor;https://www.cian.ru/sale/flat/315500545/;Москва;sale;flat;12;48;2;60.5;29900000;Ростокино; Вильгельма Пика;1;Ботанический сад;Режиссёр
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315500246/;Москва;sale;flat;15;25;2;59.5;24000000;Соколиная гора;Вольная ;28/4к1;Соколиная гора;Семеновский парк
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315500241/;Москва;sale;flat;5;20;2;68.0;27300000;Соколиная гора; 5-я Соколиной Горы;21А;Соколиная гора;
Станислав Прозоров;realtor;https://www.cian.ru/sale/flat/315500178/;Москва;sale;flat;4;12;1;38.0;10500000;Южное Бутово; Адмирала Лазарева;40;Улица Горчакова;
Прайм Самолет Плюс;real_estate_agent;https://www.cian.ru/sale/flat/315499884/;Москва;sale;flat;17;30;2;69.8;40000000;Южнопортовый; 1-я Машиностроения;10;Дубровка;Дубровская Слобода
Прайм Самолет Плюс;real_estate_agent;https://www.cian.ru/sale/flat/315499876/;Москва;sale;flat;7;41;2;65.5;57000000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/315496256/;Москва;sale;flat;5;9;1;50.0;15500000;Южное Бутово;Южнобутовская ;44;Улица Горчакова;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/315495678/;Москва;sale;flat;10;40;2;45.0;20500000;Щукино;1-й Красногорский проезд;4к2;Стрешнево;Moments
Top Realty;real_estate_agent;https://www.cian.ru/sale/flat/315494800/;Москва;sale;flat;9;12;2;59.0;35400000;Пресненский; Пресненский Вал;14к4;Улица 1905 года;Пресненский Вал 14
Виктор Костенюк;realtor;https://www.cian.ru/sale/flat/315494673/;Москва;sale;flat;6;16;2;58.0;16500000;Ново-Переделкино; Скульптора Мухиной;11к1;Рассказовка;
Татьяна Афанасьева;realtor;https://www.cian.ru/sale/flat/315493653/;Москва;sale;flat;28;33;2;46.2;13250000;Ховрино;Клинская ;2Ак7;Грачёвская;мой адрес На Клинской
ID 312003;realtor;https://www.cian.ru/sale/flat/315492311/;Москва;sale;flat;2;21;2;63.0;23000000;Отрадное;Нововладыкинский проезд;1к2;Окружная;Поколение
ID 62054;realtor;https://www.cian.ru/sale/flat/315492177/;Москва;sale;flat;2;17;1;37.9;11300000;Митино;Новотушинский проезд;10К1;Волоколамская;
FlatLux;real_estate_agent;https://www.cian.ru/sale/flat/315491031/;Москва;sale;flat;6;20;2;52.9;33200000;Филевский парк;Большая Филевская ;3к2;Фили;Западный порт
РЕСКОР;real_estate_agent;https://www.cian.ru/sale/flat/315490205/;Москва;sale;flat;2;16;2;42.0;13000000;;бульвар Скандинавский;17;Потапово;Скандинавия
ID 115477885;homeowner;https://www.cian.ru/sale/flat/315489627/;Москва;sale;flat;4;27;2;45.3;24650000;Басманный; Фридриха Энгельса;56;Бауманская;Дом 56
Татьяна Афанасьева;realtor;https://www.cian.ru/sale/flat/315489597/;Москва;sale;flat;22;31;1;23.0;9250000;Ховрино;Клинская ;2Ак7;Грачёвская;мой адрес На Клинской
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/315489236/;Москва;sale;flat;14;27;2;42.0;26900000;Алексеевский;Староалексеевская ;5А;Алексеевская;Лайм
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315489019/;Москва;sale;flat;20;24;2;77.7;21650000;Выхино-Жулебино;Привольная ;56;Жулебино;Приволье
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315489016/;Москва;sale;flat;16;53;1;43.6;22000000;Пресненский;Шмитовский проезд;39к8;Москва-Сити;Headliner
ID 29123188;realtor;https://www.cian.ru/sale/flat/315489009/;Москва;sale;flat;8;24;2;60.6;13900000;; Летчика Ульянина;6;Пыхтино;Солнцево парк
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315488604/;Москва;sale;flat;3;14;1;38.9;11500000;Марьино;Люблинская ;161;Марьино;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315488602/;Москва;sale;flat;18;22;2;58.2;20750000;Соколиная гора; 8-я Соколиной Горы;8к2;Соколиная гора;
ID 23288;realtor;https://www.cian.ru/sale/flat/315488398/;Москва;sale;flat;16;40;2;78.5;40900000;Кунцево;Рублевское шоссе;107;Молодёжная;Рублевские Огни
Самолет Плюс Москва;real_estate_agent;https://www.cian.ru/sale/flat/315487633/;Москва;sale;flat;1;10;1;38.7;12899000;Марьина роща;Старомарьинское шоссе;23;Марьина Роща;
Кремлёвские Ключи;real_estate_agent;https://www.cian.ru/sale/flat/315487434/;Москва;sale;flat;17;25;2;58.9;22000000;Кунцево;Ярцевская ;33к2;Молодёжная;
ID 92406268;unknown;https://www.cian.ru/sale/flat/315487066/;Москва;sale;flat;8;12;2;54.8;14200000;Южное Бутово;Изюмская ;22;Улица Скобелевская;
Монолит Столица;real_estate_agent;https://www.cian.ru/sale/flat/315486794/;Москва;sale;flat;15;21;2;43.0;34000000;Хорошевский;Хорошевское шоссе;25Ак3;Хорошёвская;Династия
Ангелина Малицкая;realtor;https://www.cian.ru/sale/flat/315486780/;Москва;sale;flat;17;22;2;65.0;23000000;Москворечье-Сабурово;Каширское шоссе;74А;Москворечье;Каширка.LIKE
Diamant Estate;real_estate_agent;https://www.cian.ru/sale/flat/315486516/;Москва;sale;flat;5;20;2;110.8;52700000;Ломоносовский; Архитектора Власова;6;Профсоюзная;Вавилово
Юлия Урсакий;realtor;https://www.cian.ru/sale/flat/315486455/;Москва;sale;flat;4;23;2;48.8;12600000;Южное Бутово;Бартеневская ;18к2;Бунинская аллея;Южные сады
Андрей Степнов;realtor;https://www.cian.ru/sale/flat/315486397/;Москва;sale;flat;2;16;1;34.2;10500000;Братеево;Братеевская ;16К6;Алма-Атинская;
МГСН;real_estate_agent;https://www.cian.ru/sale/flat/315486265/;Москва;sale;flat;1;12;1;39.0;11950000;Люблино;Новороссийская ;22/31;Люблино;
ID 14745;realtor;https://www.cian.ru/sale/flat/315485918/;Москва;sale;flat;24;25;1;52.0;28900000;Бутырский; Милашенкова;1;Улица Милашенкова;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315485642/;Москва;sale;flat;7;17;1;41.7;14290000;Южное Тушино;Сходненская ;14;Сходненская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315485497/;Москва;sale;flat;14;30;2;60.0;35400000;Ховрино; Дыбенко;7/1;Ховрино;Discovery Park
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315485490/;Москва;sale;flat;11;17;2;53.2;18430000;Митино;Митинская ;57;Пятницкое шоссе;
CENTURY 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/315485409/;Москва;sale;flat;4;14;1;47.3;15100000;Солнцево;Боровское шоссе;2Ак3;Говорово;Мещерский лес
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315485321/;Москва;sale;flat;6;7;1;41.4;13000000;;;2.4;Потапово;Дзен-кварталы ЖК
ID 30277;real_estate_agent;https://www.cian.ru/sale/flat/315484464/;Москва;sale;flat;20;27;2;53.0;19500000;Бескудниковский;Дмитровское шоссе;74К2;Верхние Лихоборы;В Бескудниково-2
Татьяна Сальникова;realtor;https://www.cian.ru/sale/flat/315484279/;Москва;sale;flat;12;17;2;60.6;19700000;Коптево;3-й Новомихалковский проезд;8/1;Коптево;
Самолет Плюс;real_estate_agent;https://www.cian.ru/sale/flat/315483685/;Москва;sale;flat;6;29;1;32.5;13950000;Печатники;Шоссейная ;;Люблино;Portland
Welcome 24;real_estate_agent;https://www.cian.ru/sale/flat/315483673/;Москва;sale;flat;10;17;1;38.0;11000000;; Самуила Маршака;20;Рассказовка;Переделкино Ближнее Город-парк
ID 17057;realtor;https://www.cian.ru/sale/flat/315483645/;Москва;sale;flat;8;10;1;38.0;8800000;Выхино-Жулебино;Жулебинский бульвар;14;Лермонтовский проспект;
ИНКОМ-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315483575/;Москва;sale;flat;9;14;2;57.4;23300000;Фили-Давыдково;Кастанаевская ;32;Филёвский парк;
ID 126672964;homeowner;https://www.cian.ru/sale/flat/315483557/;Москва;sale;flat;17;48;2;56.0;30500000;Ростокино; Вильгельма Пика;1;Ботанический сад;Режиссёр
Марина Малыгина;realtor;https://www.cian.ru/sale/flat/315483541/;Москва;sale;flat;16;26;1;34.6;12000000;; Фитаревская;15к1;Коммунарка;
Estes;real_estate_agent;https://www.cian.ru/sale/flat/315483386/;Москва;sale;flat;6;25;1;42.2;21500000;Аэропорт;Северный ао;к2;Красный Балтиец;Соул ЖК
ID 328749;realtor;https://www.cian.ru/sale/flat/315483295/;Москва;sale;flat;14;14;2;55.6;21200000;Войковский;Старопетровский проезд;12;Войковская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315483217/;Москва;sale;flat;6;18;1;32.1;7500000;;;к14;Ватутинки;Кленовые Аллеи ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315483213/;Москва;sale;flat;39;39;1;40.5;23300000;Раменки; Лобачевского;120к1;Аминьевская;Крылья
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/315482263/;Москва;sale;flat;5;12;1;38.1;9650000;Старое Крюково;Зеленоград;к842;Зеленоград — Крюково;
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/315482258/;Москва;sale;flat;4;17;2;64.0;15200000;Некрасовка; Лавриненко;3;Некрасовка;Некрасовка
Светлана Архипова;realtor;https://www.cian.ru/sale/flat/315482165/;Москва;sale;flat;8;28;2;36.3;15050000;Даниловский;18/19/27;18/19/27;ЗИЛ;Зиларт ЖК
Top Realty;real_estate_agent;https://www.cian.ru/sale/flat/315482007/;Москва;sale;flat;12;42;2;45.6;25000000;Филевский парк;Багратионовский проезд;5Ак1;Фили;Filicity
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/315481970/;Москва;sale;flat;28;45;2;77.1;38150000;Хорошево-Мневники; Шеногина;2;Шелепиха;Sydney City
Самолет Плюс Москва;real_estate_agent;https://www.cian.ru/sale/flat/315481282/;Москва;sale;flat;14;15;2;38.2;13500000;; Потаповская Роща;20к1;Потапово;Белые ночи
ID 129292633;homeowner;https://www.cian.ru/sale/flat/315481102/;Москва;sale;flat;17;17;1;38.0;10500000;Северное Бутово;Куликовская ;7;Улица Старокачаловская;
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/315481009/;Москва;sale;flat;5;40;1;36.8;16900000;Щукино;к2.3;к2.3;Стрешнево;Моментс ЖК
ID 51232517;homeowner;https://www.cian.ru/sale/flat/315480523/;Москва;sale;flat;8;17;2;54.7;15450000;Люблино;Люблинская ;76к5;Перерва;Люблинский парк
Ваш Дом;real_estate_agent;https://www.cian.ru/sale/flat/315480309/;Москва;sale;flat;47;69;2;38.0;14400000;Печатники;;3;Кожуховская;Левел Южнопортовая ЖК
ID 102760390;unknown;https://www.cian.ru/sale/flat/315480127/;Москва;sale;flat;8;17;1;37.5;10000000;Некрасовка;Покровская ;16;Некрасовка;Некрасовка
Кумжа Эстейт;real_estate_agent;https://www.cian.ru/sale/flat/315478906/;Москва;sale;flat;4;11;2;67.0;72000000;Дорогомилово;;3к3;Парк Победы;Виктори Парк Резиденсез ЖК
ID 129291030;homeowner;https://www.cian.ru/sale/flat/315478824/;Москва;sale;flat;4;17;1;50.9;11300000;; Сосенский Стан;10;Новомосковская;
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/315478634/;Москва;sale;flat;31;57;2;58.0;32000000;Филевский парк;;;Фили;Фили Сити ЖК
ID 1372;realtor;https://www.cian.ru/sale/flat/315477732/;Москва;sale;flat;8;23;2;90.8;38500000;Можайский;Можайское шоссе;6К1;Кунцевская;
ID 137197;realtor;https://www.cian.ru/sale/flat/315475910/;Москва;sale;flat;4;17;2;51.0;14900000;Южное Бутово;бульвар Адмирала Ушакова;8;Улица Скобелевская;
Екатерина Попова;realtor;https://www.cian.ru/sale/flat/315475907/;Москва;sale;flat;15;17;1;41.2;13400000;Северный;Дмитровское шоссе;169К7;Физтех;На Дмитровском 169
ID 106791142;homeowner;https://www.cian.ru/sale/flat/315475401/;Москва;sale;flat;6;19;-1;59.0;4000000;Люблино;Ставропольская ;23/1;Люблино;
AnisimovaPro;real_estate_agent;https://www.cian.ru/sale/flat/315473934/;Москва;sale;flat;22;22;2;59.0;35800000;Тропарево-Никулино;Озерная ;35;Озёрная;Пикассо
ID 13034815;realtor;https://www.cian.ru/sale/flat/315471833/;Москва;sale;flat;8;14;2;51.0;19440000;Восточное Дегунино;Бескудниковский бульвар;8К3;Верхние Лихоборы;
FirstEstate;real_estate_agent;https://www.cian.ru/sale/flat/315471245/;Москва;sale;flat;7;15;2;73.2;26000000;Соколиная гора;проспект Буденного;26к2;Сортировочная;Соколиная Гора
ID 13824580;realtor;https://www.cian.ru/sale/flat/315471093/;Москва;sale;flat;7;15;1;38.0;12150000;Солнцево; Богданова;12К1;Солнцево;
Донстрой;developer;https://www.cian.ru/sale/flat/315468945/;Москва;sale;flat;40;49;2;73.8;39792960;Раменки;Кинематографический кв-л;;Мичуринский проспект;Событие ЖК
Tekta Group;developer;https://www.cian.ru/sale/flat/315468670/;Москва;sale;flat;17;22;1;38.8;19694880;Нагорный;;;Нагорная;Twelve
Ольга Кандала;realtor;https://www.cian.ru/sale/flat/315468545/;Москва;sale;flat;7;17;1;51.0;28750000;Раменки;Мичуринский проспект;7;Ломоносовский проспект;Квартал Шуваловский
ID 90898181;homeowner;https://www.cian.ru/sale/flat/315468039/;Москва;sale;flat;3;17;1;37.1;15850000;Бескудниковский;Бескудниковский бульвар;19к2;Селигерская;
ID 128083579;realtor;https://www.cian.ru/sale/flat/315466325/;Москва;sale;flat;13;22;2;63.2;33000000;Даниловский;бульвар Братьев Весниных;1;ЗИЛ;ЗИЛАРТ
BRealty;real_estate_agent;https://www.cian.ru/sale/flat/315466204/;Москва;sale;flat;24;24;2;60.0;15500000;; Летчика Ульянина;6;Пыхтино;Солнцево парк
Антон Осмелкин;realtor;https://www.cian.ru/sale/flat/315466008/;Москва;sale;flat;16;22;2;57.6;25500000;Академический; Винокурова;12к5;Академическая;
Гранд недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315465939/;Москва;sale;flat;21;25;2;58.8;22990000;Очаково-Матвеевское;Большая Очаковская ;3;Аминьевская;Мичурино
ID 12229772;unknown;https://www.cian.ru/sale/flat/315465111/;Москва;sale;flat;6;16;2;59.5;24800000;Фили-Давыдково; Олеко Дундича;32;Филёвский парк;
ИНФИНИТИ;real_estate_agent;https://www.cian.ru/sale/flat/315465058/;Москва;sale;flat;2;9;2;68.6;18800000;; Бориса Пастернака;8;Рассказовка;Переделкино Ближнее Город-парк
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315464377/;Москва;sale;flat;8;32;1;44.4;15400000;Западное Дегунино;Ильменский проезд;2;Верхние Лихоборы;Дмитровское небо
ID 95115990;realtor;https://www.cian.ru/sale/flat/315464254/;Москва;sale;flat;2;16;1;33.8;11490000;Восточное Измайлово;Нижняя Первомайская ;50;Первомайская;
ID 97960727;homeowner;https://www.cian.ru/sale/flat/315464252/;Москва;sale;flat;6;18;1;36.2;14290000;Северное Бутово;Феодосийская ;7к1;Бульвар Дмитрия Донского;Гринада
Ольга Эмирова;realtor;https://www.cian.ru/sale/flat/315464220/;Москва;sale;flat;8;25;2;52.0;18900000;Фили-Давыдково; Герасима Курина;26;Славянский бульвар;
Absolute Premium;developer;https://www.cian.ru/sale/flat/315463865/;Москва;sale;flat;11;18;2;101.8;154054000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Ольга Сергеева;realtor;https://www.cian.ru/sale/flat/315463795/;Москва;sale;flat;5;24;1;39.5;16500000;Кузьминки;Волгоградский проспект;86К1;Кузьминки;Новые Кузьминки
Большой Город;real_estate_agent;https://www.cian.ru/sale/flat/315463716/;Москва;sale;flat;33;37;1;41.3;24500000;Раменки;Мосфильмовская ;98к1;Аминьевская;Огни
ID 114610695;homeowner;https://www.cian.ru/sale/flat/315463178/;Москва;sale;flat;11;16;2;61.0;16500000;Можайский; Горбунова;19К1;Сетунь;
ID 129274417;homeowner;https://www.cian.ru/sale/flat/315462971/;Москва;sale;flat;17;17;2;60.4;14700000;Некрасовка; Лавриненко;3А;Некрасовка;Некрасовка
ID 7010362;realtor;https://www.cian.ru/sale/flat/315462929/;Москва;sale;flat;4;14;1;38.1;10500000;Выхино-Жулебино;Лермонтовский проспект;6;Лермонтовский проспект;
Оксана Потапова;realtor;https://www.cian.ru/sale/flat/315462900/;Москва;sale;flat;52;55;1;43.69;31700000;Марьина роща; 4-я Марьиной рощи;12К1;Марьина Роща;Mod
ID 119666231;homeowner;https://www.cian.ru/sale/flat/315462856/;Москва;sale;flat;1;15;2;58.0;12900000;; Спортивная;17;Щербинка;
Иветта Яшкина;realtor;https://www.cian.ru/sale/flat/315462775/;Москва;sale;flat;19;30;1;34.8;17700000;Западное Дегунино;Ильменский проезд;14к8;Селигерская;Селигер Сити
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/315462659/;Москва;sale;flat;1;14;2;54.6;13799000;Выхино-Жулебино; Маршала Полубоярова;4к2;Жулебино;
ID 27976496;unknown;https://www.cian.ru/sale/flat/315462382/;Москва;sale;flat;2;14;2;59.1;11800000;Старое Крюково;Зеленоград;к830;Зеленоград — Крюково;
Сити Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315462177/;Москва;sale;flat;11;24;1;32.0;11300000;Солнцево;Производственная ;17;Солнцево;Лучи
ИНКОМ-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315462008/;Москва;sale;flat;9;25;2;80.0;26900000;Митино;Митинская ;28к4;Митино;Life-Митинская Ecopark
Самолет Плюс Москва;real_estate_agent;https://www.cian.ru/sale/flat/315461824/;Москва;sale;flat;4;13;2;67.1;18000000;Новогиреево;Перовская ;66к5;Кусково;Большое Кусково
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315461712/;Москва;sale;flat;3;34;2;61.0;23500000;Очаково-Матвеевское;Очаковское шоссе;5к6;Аминьевская;Матвеевский парк
ID 76466506;unknown;https://www.cian.ru/sale/flat/315461401/;Москва;sale;flat;13;14;2;53.0;16800000;Северное Бутово;Ратная ;8К1;Бульвар Дмитрия Донского;
Ольга Ханис;realtor;https://www.cian.ru/sale/flat/315461304/;Москва;sale;flat;6;14;1;36.2;17900000;Басманный; Госпитальный Вал;5С8;Электрозаводская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315461300/;Москва;sale;flat;13;22;1;43.6;13000000;; Анны Ахматовой;16;Рассказовка;Переделкино Ближнее Город-парк
Елена Крылова;realtor;https://www.cian.ru/sale/flat/315461193/;Москва;sale;flat;10;20;1;42.0;12500000;; Летчика Ульянина;4;Пыхтино;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315461143/;Москва;sale;flat;14;19;2;60.6;20590000;Северный;Дмитровское шоссе;169К7;Физтех;На Дмитровском 169
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315461141/;Москва;sale;flat;21;22;1;37.0;13900000;Западное Дегунино;Дегунинская ;3к3;Селигерская;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315461140/;Москва;sale;flat;12;13;2;41.6;33500000;Беговой;Ленинградский проспект;29к4;Динамо;Царская площадь
Landis;real_estate_agent;https://www.cian.ru/sale/flat/315461015/;Москва;sale;flat;7;24;2;52.9;16500000;Солнцево;Производственная ;17;Солнцево;Лучи
ID 8603074;unknown;https://www.cian.ru/sale/flat/315460971/;Москва;sale;flat;2;21;2;56.1;21500000;Северное Бутово;Феодосийская ;7к3;Улица Старокачаловская;Гринада
ID 7338713;realtor;https://www.cian.ru/sale/flat/315460877/;Москва;sale;flat;15;17;2;51.0;26400000;Щукино;Щукинская ;2;Стрешнево;Доминанта
CENTURY 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/315460575/;Москва;sale;flat;12;28;1;39.8;25900000;Лефортово;проезд Невельского;1к1;Авиамоторная;Символ
PRO.REALTY;real_estate_agent;https://www.cian.ru/sale/flat/315460307/;Москва;sale;flat;10;54;2;37.0;17900000;Бутырский;Огородный проезд;4С1;Бутырская;Upside Towers
ID 120982406;realtor;https://www.cian.ru/sale/flat/315460110/;Москва;sale;flat;8;14;2;54.0;16300000;Ново-Переделкино; Шолохова;17;Новопеределкино;
